Date,ret,rv,vix,nfci
2023-07-05,-0.0019702580976126427,7.2580343639156215e-06,14.18,-0.227
2023-07-06,-0.007954061175894367,3.3982855449609655e-05,15.44,-0.227
2023-07-07,-0.002869212795733489,4.670186416835566e-05,14.83,-0.235
2023-07-10,0.0024021386106269915,8.610577573700202e-06,15.07,-0.235
2023-07-11,0.0067195839982545635,2.0510581613571203e-05,14.84,-0.235
2023-07-12,0.007383905235389676,1.5350677875017658e-05,13.54,-0.235
2023-07-13,0.008434482989626346,1.2801921299017719e-05,13.61,-0.235
2023-07-14,-0.0010249321969073577,1.79126684261535e-05,13.34,-0.248
2023-07-17,0.0038479695744211284,1.5452687157355723e-05,13.48,-0.248
2023-07-18,0.007092066941428499,3.45834058294118e-05,13.3,-0.248
2023-07-19,0.002355134827233485,1.0453839498920598e-05,13.76,-0.248
2023-07-20,-0.006779827396258042,2.6324237981831382e-05,13.99,-0.248
2023-07-21,0.0003240420146131129,5.356056416631215e-06,13.6,-0.263
2023-07-24,0.004026038496874662,9.442657752349715e-06,13.91,-0.263
2023-07-25,0.0028107195758391157,1.6272756019133154e-05,13.86,-0.263
2023-07-26,-0.00015545097867608604,2.8081458039333124e-05,13.19,-0.263
2023-07-27,-0.0064453930551966465,7.916110461067681e-05,14.41,-0.263
2023-07-28,0.009829375810433305,1.1306481884360858e-05,13.33,-0.279
2023-07-31,0.0014676354365690258,1.0260459434300596e-05,13.63,-0.279
2023-08-01,-0.0026686453076827377,6.892761799528073e-06,13.93,-0.279
2023-08-02,-0.01393620063833545,2.3269690160329806e-05,16.09,-0.279
2023-08-03,-0.0025512254502917386,2.7319498923883436e-05,15.92,-0.279
2023-08-04,-0.005314169373939137,8.185217663502756e-05,17.1,-0.296
2023-08-07,0.008983618964856888,6.542263192659074e-06,15.77,-0.296
2023-08-08,-0.004227205100058029,3.7637080948719596e-05,15.99,-0.296
2023-08-09,-0.007063619102046559,2.004646766710958e-05,15.96,-0.296
2023-08-10,0.0002506825210808472,0.00011301694722322877,15.85,-0.296
2023-08-11,-0.0010702648992282349,2.2671966631566064e-05,14.84,-0.311
2023-08-14,0.005734004879418109,1.4766406871835865e-05,14.82,-0.311
2023-08-15,-0.011618139396096794,2.2198070399653826e-05,16.46,-0.311
2023-08-16,-0.00758408179262382,3.776701360844099e-05,16.78,-0.311
2023-08-17,-0.00774281137752908,3.9965249115664235e-05,17.89,-0.311
2023-08-18,-0.00014871788395787178,4.4390823452398174e-05,17.3,-0.324
2023-08-21,0.006855634859800119,5.0469786172897345e-05,17.13,-0.324
2023-08-22,-0.002781331046545432,1.7738203187199456e-05,16.97,-0.324
2023-08-23,0.010984330710790857,2.490468351818757e-05,15.98,-0.324
2023-08-24,-0.013549353984007695,5.232585869433611e-05,17.2,-0.324
2023-08-25,0.0066955010602960385,9.507354277198903e-05,15.68,-0.332
2023-08-28,0.006245078594195874,1.4368825424183731e-05,15.08,-0.332
2023-08-29,0.014404068712057239,3.594129543291244e-05,14.45,-0.332
2023-08-30,0.003825854181192412,1.5361632037072745e-05,13.88,-0.332
2023-08-31,-0.0015982129743399298,1.347951556121855e-05,13.57,-0.332
2023-09-01,0.0017975127655187606,3.478713088239555e-05,13.09,-0.337
2023-09-05,-0.004202997821382226,4.898378746560434e-06,14.01,-0.337
2023-09-06,-0.006996014491431168,4.576257001680372e-05,14.45,-0.337
2023-09-07,-0.003216433115733608,1.3550704263166196e-05,14.4,-0.337
2023-09-08,0.0014256060622575006,1.514631636817962e-05,13.84,-0.337
2023-09-11,0.006700951498135765,1.2238615463767992e-05,13.8,-0.337
2023-09-12,-0.005712169023004421,2.0421420595050226e-05,14.23,-0.337
2023-09-13,0.0012408621175339363,1.6329681807659866e-05,13.48,-0.337
2023-09-14,0.008394585533666898,2.1705697938658903e-05,12.82,-0.337
2023-09-15,-0.01223414584249305,2.0593490560384873e-05,13.79,-0.332
2023-09-18,0.0007210276941744809,1.3443218847551761e-05,14.0,-0.332
2023-09-19,-0.002153327361533286,2.80683763928576e-05,14.11,-0.332
2023-09-20,-0.009439204206291407,4.013098626029735e-05,15.14,-0.332
2023-09-21,-0.016536918318488247,1.7013708759898544e-05,17.54,-0.332
2023-09-22,-0.0022982374027602503,3.480949206152751e-05,17.2,-0.323
2023-09-25,0.004014994203807021,1.9485366249798624e-05,16.9,-0.323
2023-09-26,-0.014844165482264415,2.7652396113442224e-05,18.94,-0.323
2023-09-27,0.00022928777229402897,7.709675175052887e-05,18.22,-0.323
2023-09-28,0.005875877143001418,5.696985396557042e-05,17.34,-0.323
2023-09-29,-0.0027132596482903892,5.819264827649953e-05,17.52,-0.311
2023-10-02,7.936440615274876e-05,4.416141332432397e-05,17.61,-0.311
2023-10-03,-0.013839395863447734,8.120643138265516e-05,19.78,-0.311
2023-10-04,0.008077047607828902,4.484262768496084e-05,18.58,-0.311
2023-10-05,-0.0013048811469964505,4.708409965274178e-05,18.49,-0.311
2023-10-06,0.01174564209396145,0.00018450011161757354,17.45,-0.3
2023-10-09,0.0062840681193883086,4.5058407219945455e-05,17.7,-0.3
2023-10-10,0.005194476099985579,4.817467201360704e-05,17.03,-0.3
2023-10-11,0.004283819500095376,2.6971301115393036e-05,16.09,-0.3
2023-10-12,-0.006266024940655868,7.631587333332964e-05,16.69,-0.3
2023-10-13,-0.005031495660219321,9.047029276114892e-05,19.32,-0.29
2023-10-16,0.010538642302590162,2.4195652932970215e-05,17.21,-0.29
2023-10-17,-9.824987944462293e-05,6.64610298826641e-05,17.88,-0.29
2023-10-18,-0.01349040825115111,5.943403824880244e-05,19.22,-0.29
2023-10-19,-0.008519032328058174,9.23749598368349e-05,21.4,-0.29
2023-10-20,-0.012665149196156023,2.650005014417246e-05,21.71,-0.285
2023-10-23,-0.0016869920654354331,0.0001235056441753706,20.37,-0.285
2023-10-24,0.007239523519629643,4.136578061432109e-05,18.97,-0.285
2023-10-25,-0.014443434657238186,2.805570645169205e-05,20.19,-0.285
2023-10-26,-0.011903081205584698,5.623436099223316e-05,20.68,-0.285
2023-10-27,-0.004811838578621774,5.352053402407858e-05,21.27,-0.284
2023-10-30,0.011938474300286828,4.0574731554495585e-05,19.75,-0.284
2023-10-31,0.006454084821687189,4.050972649141498e-05,18.14,-0.284
2023-11-01,0.010451194990192647,3.532131221330329e-05,16.87,-0.284
2023-11-02,0.018682938934086124,2.041331544823284e-05,15.66,-0.284
2023-11-03,0.009349883544551574,2.9037990629913868e-05,14.91,-0.289
2023-11-06,0.0017514577241009022,1.5962907373753042e-05,14.89,-0.289
2023-11-07,0.002836093401711537,2.1915516900500114e-05,14.81,-0.289
2023-11-08,0.001004411032420549,2.5765770517913316e-05,14.45,-0.289
2023-11-09,-0.00811669069906884,2.4809289184607798e-05,15.29,-0.289
2023-11-10,0.01549575927077207,5.6460526934014764e-05,14.17,-0.297
2023-11-13,-0.0008361884413705667,1.961501545687232e-05,14.76,-0.297
2023-11-14,0.01889537047457779,3.543423962531948e-05,14.16,-0.297
2023-11-15,0.001595738207846864,1.634019172492277e-05,14.18,-0.297
2023-11-16,0.0011897193967129738,1.2040187899361352e-05,14.32,-0.297
2023-11-17,0.001281227937178997,9.911591913006516e-06,13.8,-0.308
2023-11-20,0.007363103793794679,2.9195975499263894e-05,13.41,-0.308
2023-11-21,-0.002022975931756932,6.721060148114833e-06,13.35,-0.308
2023-11-22,0.004052905094313886,1.2924694776739635e-05,12.85,-0.308
2023-11-24,0.000596695609644371,1.130517005618459e-06,12.46,-0.319
2023-11-27,-0.001956069316898734,4.497062164505151e-06,12.69,-0.319
2023-11-28,0.0009796385280509412,1.6775684842906513e-05,12.69,-0.319
2023-11-29,-0.0009466966151023826,3.0902947840330423e-05,12.98,-0.319
2023-11-30,0.003776931264994232,2.2602068903387026e-05,12.92,-0.319
2023-12-01,0.0058565589538464025,2.479976146344558e-05,12.63,-0.33
